datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Total sales,Year,Month,Hour,Weekday Name
1/13/2018,3.5,3.495,3.2,32,6,0,8,1,57.195,2018,1,276,Saturday
1/14/2018,4.33,5.155,1.2,36,2,0,5,1,54.685,2018,1,276,Sunday
1/15/2018,6.99,2,5.1,26,8,0,15,2,65.09,2018,1,276,Monday
1/16/2018,6.34,2.67,3,18,2,0,8,0,40.01,2018,1,276,Tuesday
1/17/2018,6.67,2.85,2,30.2,10,2,41,2,96.72,2018,1,276,Wednesday
1/18/2018,4.33,3.726,4,58.4,9,0,2,1,82.456,2018,1,276,Thursday
1/19/2018,6.33,2.528,3,23.4,12,0,3,1,51.258,2018,1,276,Friday
1/20/2018,2.66,2.32,2,38,2,0,5,0,51.98,2018,1,276,Saturday
1/21/2018,3.33,3.53,3.4,32.8,6,0,1,3.5,53.56,2018,1,276,Sunday
1/22/2018,6,3.396,6,29,5,0,6,1,56.396,2018,1,276,Monday
1/23/2018,1,1.066,4.6,38.6,4,0,5,1,55.266,2018,1,276,Tuesday
1/24/2018,7.33,6.67,4,32,13,0,4,1,68,2018,1,276,Wednesday
1/25/2018,3.66,5.132,4.2,36.8,15,0,7,3,74.792,2018,1,276,Thursday
1/26/2018,3,3.023,0.4,62.2,9,0,12,1,90.623,2018,1,276,Friday
1/27/2018,3.34,7.33,3,52.9,7,0,3,4,80.57,2018,1,276,Saturday
1/28/2018,1.5,2.35,5.65,55,11,0,10,2,87.5,2018,1,276,Sunday
1/29/2018,2.33,4.363,4.25,47.9,10,3,4,1,76.843,2018,1,276,Monday
1/30/2018,4.33,3.76,3,37,11,0,4,3,66.09,2018,1,276,Tuesday
1/31/2018,0.33,5.076,4,30.4,12,0,6,1,58.806,2018,1,276,Wednesday
2/1/2018,5.34,4.33,6,30.5,7,0,6,3,62.17,2018,2,276,Thursday
2/2/2018,2.33,4.99,4,54.6,6,0,6,4.4,82.32,2018,2,276,Friday
2/3/2018,4.33,7.13,3.3,67.1,12,0,5,2,100.86,2018,2,276,Saturday
2/4/2018,7.99,9.066,2,50.6,6,0,3,3,81.656,2018,2,276,Sunday
2/5/2018,7.33,3.066,3,53,18,0,6,0.66,91.056,2018,2,276,Monday
2/6/2018,4.34,1.87,6.85,51.5,8,0,5,1,78.56,2018,2,276,Tuesday
2/7/2018,4.84,8.132,3.2,44.8,8,0,23,0,91.972,2018,2,276,Wednesday
2/8/2018,6.33,1.34,3,47,7,0,1.25,0,65.92,2018,2,276,Thursday
2/9/2018,3,3.69,4.25,47,17,0,11,0,85.94,2018,2,276,Friday
2/10/2018,10.01,5.231,3.5,60.4,6,0,15,3,103.141,2018,2,276,Saturday
2/11/2018,6.33,5.396,7.8,63.25,12,0,10,2,106.776,2018,2,276,Sunday
2/12/2018,8,4.769,10,36.3,14,1,1,1,76.069,2018,2,276,Monday
2/13/2018,6,8.033,5,17.8,10,0,10,3,59.833,2018,2,276,Tuesday
2/14/2018,1,6.33,2.1,50.3,15,0,14,0,88.73,2018,2,276,Wednesday
2/15/2018,1.5,6.945,0.85,74.6,6,0,10,0,99.895,2018,2,276,Thursday
2/16/2018,7.68,7.175,1.2,65.162,10,0,0,1,92.217,2018,2,276,Friday
2/17/2018,1.33,3.64,2,50.4,5,0,9,0,71.37,2018,2,276,Saturday
2/18/2018,6,6.726,7.55,44,2,0,4,1,71.276,2018,2,276,Sunday
2/19/2018,1,3.34,1.7,27,6,0,12,2,53.04,2018,2,276,Monday
2/20/2018,4.18,2.286,4.2,30.2,6,0,2,3,51.866,2018,2,276,Tuesday
2/21/2018,1.34,7.01,9.5,27.4,5,0,6,1,57.25,2018,2,276,Wednesday
2/22/2018,5,6.33,3.15,30,6,0,20,0,70.48,2018,2,276,Thursday
2/23/2018,5.83,2.979,1,34.2,6,0,12,0,62.009,2018,2,276,Friday
2/24/2018,8,5.68,7,43.5,10,0,8,3,85.18,2018,2,276,Saturday
2/25/2018,4,1.68,2,36.8,10,0,10,2,66.48,2018,2,276,Sunday
2/26/2018,1,0.66,2,46.6,9,0,7,1,67.26,2018,2,276,Monday
2/27/2018,3.33,2.65,3.4,26.7,20,9,8,1,74.08,2018,2,276,Tuesday
2/28/2018,1,2.33,5.1,44.662,21,2,0,1,77.092,2018,2,276,Wednesday
